channel,eventNum,format,idHex,peakRssi,timestamp,type
916.15,11660,"epc","1111111111111111111111ef",-56,"2025-06-02T16:09:40.271-0500","CUSTOM"
907.15,11661,"epc","1111111111111111111111ef",-56,"2025-06-02T16:09:41.272-0500","CUSTOM"
909.85,11662,"epc","1111111111111111111111ef",-55,"2025-06-02T16:09:42.273-0500","CUSTOM"
914.35,3,"epc","1111111111111111111111ff",-58,"2025-06-03T10:20:01.895-0500","CUSTOM"
914.35,4,"epc","1111111111111111111111ee",-54,"2025-06-03T10:20:01.936-0500","CUSTOM"
925.6,5,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:02.897-0500","CUSTOM"
904.45,6,"epc","1111111111111111111111ee",-54,"2025-06-03T10:20:03.443-0500","CUSTOM"
926.95,7,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:03.900-0500","CUSTOM"
917.95,8,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:04.903-0500","CUSTOM"
908.95,9,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:05.035-0500","CUSTOM"
916.6,10,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:05.915-0500","CUSTOM"
905.35,11,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:06.229-0500","CUSTOM"
904.9,12,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:06.917-0500","CUSTOM"
913.9,13,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:07.859-0500","CUSTOM"
913.9,14,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:07.920-0500","CUSTOM"
913.0,15,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:08.872-0500","CUSTOM"
920.65,16,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:08.973-0500","CUSTOM"
911.2,17,"epc","1111111111111111111111ee",-57,"2025-06-03T10:20:09.875-0500","CUSTOM"
911.2,18,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:09.986-0500","CUSTOM"
905.8,19,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:10.917-0500","CUSTOM"
905.8,20,"epc","1111111111111111111111ff",-61,"2025-06-03T10:20:11.009-0500","CUSTOM"
906.25,21,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:11.920-0500","CUSTOM"
906.25,22,"epc","1111111111111111111111ff",-61,"2025-06-03T10:20:12.022-0500","CUSTOM"
907.15,23,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:12.944-0500","CUSTOM"
907.15,24,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:13.035-0500","CUSTOM"
909.85,25,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:14.078-0500","CUSTOM"
909.85,26,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:14.159-0500","CUSTOM"
907.6,27,"epc","1111111111111111111111ff",-61,"2025-06-03T10:20:15.082-0500","CUSTOM"
907.6,28,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:15.183-0500","CUSTOM"
918.4,29,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:16.086-0500","CUSTOM"
912.55,30,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:16.835-0500","CUSTOM"
912.55,31,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:17.078-0500","CUSTOM"
908.05,32,"epc","1111111111111111111111ee",-56,"2025-06-03T10:20:17.838-0500","CUSTOM"
924.25,33,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:18.091-0500","CUSTOM"
922.45,34,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:19.093-0500","CUSTOM"
921.1,35,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:20.096-0500","CUSTOM"
903.1,36,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:20.309-0500","CUSTOM"
914.8,37,"epc","1111111111111111111111ff",-58,"2025-06-03T10:20:21.098-0500","CUSTOM"
914.35,38,"epc","1111111111111111111111ee",-54,"2025-06-03T10:20:21.483-0500","CUSTOM"
903.55,39,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:22.192-0500","CUSTOM"
904.45,40,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:23.093-0500","CUSTOM"
904.45,41,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:23.194-0500","CUSTOM"
918.85,42,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:24.204-0500","CUSTOM"
908.95,43,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:24.710-0500","CUSTOM"
917.5,44,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:25.216-0500","CUSTOM"
905.35,45,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:25.793-0500","CUSTOM"
904.9,46,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:26.219-0500","CUSTOM"
920.2,47,"epc","1111111111111111111111ff",-57,"2025-06-03T10:20:27.232-0500","CUSTOM"
913.9,48,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:27.384-0500","CUSTOM"
913.0,49,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:28.245-0500","CUSTOM"
913.0,50,"epc","1111111111111111111111ee",-55,"2025-06-03T10:20:28.387-0500","CUSTOM"
910.75,51,"epc","1111111111111111111111ff",-59,"2025-06-03T10:20:29.249-0500","CUSTOM"
