CRC,PC,antenna,channel,eventNum,format,idHex,peakRssi,phase,reads,timestamp,<class 'type'>
ebf0,3000,5,909.85,514,epc,e2801191a5030069bb92b1f1,-66,-63.228248596191406,1,2025-05-28T10:10:29.146-0500,CUSTOM
ebf0,3000,5,909.4,515,epc,e2801191a5030069bb92b1f1,-67,-72.7701644897461,1,2025-05-28T10:10:30.963-0500,CUSTOM
ebf0,3000,5,909.85,553,epc,e2801191a5030069bb92b1f1,-67,-63.881954193115234,1,2025-05-28T10:12:47.149-0500,CUSTOM
ebf0,3000,5,909.4,554,epc,e2801191a5030069bb92b1f1,-67,-72.8580551147461,1,2025-05-28T10:12:48.805-0500,CUSTOM
ebf0,3000,5,908.05,555,epc,e2801191a5030069bb92b1f1,-67,-99.3578872680664,1,2025-05-28T10:12:50.917-0500,CUSTOM
ebf0,3000,5,908.05,560,epc,e2801191a5030069bb92b1f1,-47,-140.65126037597656,1,2025-05-28T11:05:25.561-0500,CUSTOM
ebf0,3000,6,922.45,561,epc,e2801191a5030069bb92b1f1,-23,44.91347885131836,1,2025-05-28T11:05:26.762-0500,CUSTOM
5,7,epc,1111111111111111111111fa,-46,1,2025-05-28T12:28:52.067-0500,INVENTORY
5,8,epc,111111111111111111111111,-51,1,2025-05-28T12:28:52.077-0500,INVENTORY
5,9,epc,1111111111111111111111fa,2025-05-28T12:29:31.116-0500,CONVEYOR
5,10,epc,111111111111111111111111,2025-05-28T12:29:31.560-0500,CONVEYOR
d8b2,3000,5,913.0,11,epc,111111111111111111111111,-46,79.52696228027344,1,2025-05-28T12:30:54.669-0500,CUSTOM
94f7,3000,5,913.0,12,epc,1111111111111111111111fa,-42,20.44618034362793,1,2025-05-28T12:30:54.679-0500,CUSTOM
9496,3000,6,913.0,13,epc,98003480000000000076a282,-69,170.85360717773438,1,2025-05-28T12:30:54.790-0500,CUSTOM
d8b2,3000,6,905.8,16,epc,111111111111111111111111,-61,-59.43784713745117,1,2025-05-28T12:30:56.987-0500,CUSTOM
94f7,3000,5,911.65,17,epc,1111111111111111111111fa,-42,1.0986663103103638,1,2025-05-28T12:30:57.160-0500,CUSTOM
d8b2,3000,6,916.15,19,epc,111111111111111111111111,-60,139.05819702148438,1,2025-05-28T12:30:58.109-0500,CUSTOM
94f7,3000,6,913.45,20,epc,1111111111111111111111fa,-60,39.947509765625,1,2025-05-28T12:30:58.352-0500,CUSTOM
d8b2,3000,5,917.05,21,epc,111111111111111111111111,-46,167.19503784179688,1,2025-05-28T12:30:59.211-0500,CUSTOM
94f7,3000,6,915.25,22,epc,1111111111111111111111fa,-59,64.12915802001953,1,2025-05-28T12:30:59.544-0500,CUSTOM
d8b2,3000,6,910.3,23,epc,111111111111111111111111,-60,12.486343383789062,1,2025-05-28T12:31:00.353-0500,CUSTOM
94f7,3000,6,907.6,24,epc,1111111111111111111111fa,-58,-39.37070846557617,1,2025-05-28T12:31:00.756-0500,CUSTOM
d8b2,3000,5,909.4,25,epc,111111111111111111111111,-46,3.8837854862213135,1,2025-05-28T12:31:01.504-0500,CUSTOM
9496,3000,6,918.4,26,epc,98003480000000000076a282,-66,-38.56868362426758,1,2025-05-28T12:31:01.777-0500,CUSTOM
d8b2,3000,6,912.55,29,epc,111111111111111111111111,-60,61.058380126953125,1,2025-05-28T12:31:02.646-0500,CUSTOM
d8b2,3000,5,924.25,31,epc,111111111111111111111111,-49,-28.395030975341797,1,2025-05-28T12:31:03.808-0500,CUSTOM
ebf0,3000,5,919.75,33,epc,e2801191a5030069bb92b1f1,-70,49.840999603271484,1,2025-05-28T12:31:04.929-0500,CUSTOM
9496,3000,6,919.75,34,epc,98003480000000000076a282,-66,10.387889862060547,1,2025-05-28T12:31:04.970-0500,CUSTOM
d8b2,3000,5,919.75,35,epc,111111111111111111111111,-46,-133.05947875976562,1,2025-05-28T12:31:05.051-0500,CUSTOM
d8b2,3000,6,903.1,37,epc,111111111111111111111111,-61,-104.14258575439453,1,2025-05-28T12:31:06.223-0500,CUSTOM
ebf0,3000,5,921.55,38,epc,e2801191a5030069bb92b1f1,-69,96.51783752441406,1,2025-05-28T12:31:06.495-0500,CUSTOM
d8b2,3000,6,914.35,40,epc,111111111111111111111111,-61,94.68306732177734,1,2025-05-28T12:31:07.405-0500,CUSTOM
d8b2,3000,5,924.7,43,epc,111111111111111111111111,-52,-12.925809860229492,1,2025-05-28T12:31:08.627-0500,CUSTOM
ebf0,3000,6,904.45,44,epc,e2801191a5030069bb92b1f1,-41,-142.4970245361328,1,2025-05-28T12:31:09.031-0500,CUSTOM
9496,3000,6,918.85,46,epc,98003480000000000076a282,-68,-19.699087142944336,1,2025-05-28T12:31:09.627-0500,CUSTOM
d8b2,3000,5,918.85,47,epc,111111111111111111111111,-48,-139.29441833496094,1,2025-05-28T12:31:09.870-0500,CUSTOM
94f7,3000,5,917.5,49,epc,1111111111111111111111fa,-40,82.66915130615234,1,2025-05-28T12:31:10.789-0500,CUSTOM
d8b2,3000,5,917.5,50,epc,111111111111111111111111,-46,176.1766357421875,1,2025-05-28T12:31:11.042-0500,CUSTOM
94f7,3000,6,904.9,51,epc,1111111111111111111111fa,-60,-88.59095764160156,1,2025-05-28T12:31:12.001-0500,CUSTOM
d8b2,3000,6,904.9,52,epc,111111111111111111111111,-62,-75.42893981933594,1,2025-05-28T12:31:12.193-0500,CUSTOM
94f7,3000,5,913.9,54,epc,1111111111111111111111fa,-42,31.685537338256836,1,2025-05-28T12:31:13.264-0500,CUSTOM
d8b2,3000,6,913.9,55,epc,111111111111111111111111,-60,92.23853302001953,1,2025-05-28T12:31:13.405-0500,CUSTOM
94f7,3000,5,920.65,56,epc,1111111111111111111111fa,-40,131.779541015625,1,2025-05-28T12:31:14.476-0500,CUSTOM
d8b2,3000,5,920.65,57,epc,111111111111111111111111,-47,-112.8550033569336,1,2025-05-28T12:31:14.638-0500,CUSTOM
94f7,3000,6,904.0,58,epc,1111111111111111111111fa,-59,-110.70711517333984,1,2025-05-28T12:31:15.689-0500,CUSTOM
d8b2,3000,5,904.0,59,epc,111111111111111111111111,-48,-104.90066528320312,1,2025-05-28T12:31:15.770-0500,CUSTOM
94f7,3000,6,911.65,60,epc,1111111111111111111111fa,-59,16.337167739868164,1,2025-05-28T12:31:16.881-0500,CUSTOM
d8b2,3000,6,911.65,61,epc,111111111111111111111111,-59,39.45310974121094,1,2025-05-28T12:31:16.891-0500,CUSTOM
9496,3000,6,916.15,62,epc,98003480000000000076a282,-68,-103.54380798339844,1,2025-05-28T12:31:17.699-0500,CUSTOM
d8b2,3000,5,913.45,63,epc,111111111111111111111111,-46,88.7228012084961,1,2025-05-28T12:31:18.023-0500,CUSTOM
d8b2,3000,5,915.25,65,epc,111111111111111111111111,-46,128.59339904785156,1,2025-05-28T12:31:19.164-0500,CUSTOM
94f7,3000,6,915.25,66,epc,1111111111111111111111fa,-59,65.79363250732422,1,2025-05-28T12:31:19.286-0500,CUSTOM
94f7,3000,5,907.6,68,epc,1111111111111111111111fa,-44,-54.31806564331055,1,2025-05-28T12:31:20.487-0500,CUSTOM
9496,3000,6,918.4,70,epc,98003480000000000076a282,-66,-40.92531967163086,1,2025-05-28T12:31:21.386-0500,CUSTOM
83c5,30ae,5,918.4,71,epc,1a88ef6d80f9a5297a0a38bf,-66,-78.71944427490234,1,2025-05-28T12:31:21.467-0500,CUSTOM
d8b2,3000,5,918.4,72,epc,111111111111111111111111,-46,-164.25611877441406,1,2025-05-28T12:31:21.478-0500,CUSTOM
ebf0,3000,5,912.55,74,epc,e2801191a5030069bb92b1f1,-71,42.990814208984375,1,2025-05-28T12:31:22.457-0500,CUSTOM
d8b2,3000,5,922.0,75,epc,111111111111111111111111,-47,-79.78514862060547,1,2025-05-28T12:31:22.619-0500,CUSTOM
d8b2,3000,5,912.1,77,epc,111111111111111111111111,-46,59.49827575683594,1,2025-05-28T12:31:23.851-0500,CUSTOM
d8b2,3000,5,913.0,78,epc,111111111111111111111111,-46,78.11517333984375,1,2025-05-28T12:32:06.000-0500,CUSTOM
94f7,3000,5,913.0,79,epc,1111111111111111111111fa,-41,19.226661682128906,1,2025-05-28T12:32:06.001-0500,CUSTOM
ebf0,3000,5,913.0,80,epc,e2801191a5030069bb92b1f1,-71,55.054168701171875,1,2025-05-28T12:32:06.021-0500,CUSTOM
9496,3000,6,913.0,81,epc,98003480000000000076a282,-69,171.23263549804688,1,2025-05-28T12:32:06.122-0500,CUSTOM
d8b2,3000,6,910.75,82,epc,111111111111111111111111,-60,22.627033233642578,1,2025-05-28T12:32:07.172-0500,CUSTOM
94f7,3000,5,911.2,83,epc,1111111111111111111111fa,-42,-6.152531623840332,1,2025-05-28T12:32:07.223-0500,CUSTOM
d8b2,3000,6,908.5,85,epc,111111111111111111111111,-61,-23.253273010253906,1,2025-05-28T12:32:08.293-0500,CUSTOM
94f7,3000,6,905.8,86,epc,1111111111111111111111fa,-59,-74.28632354736328,1,2025-05-28T12:32:08.414-0500,CUSTOM
d8b2,3000,5,906.25,88,epc,111111111111111111111111,-48,-62.080142974853516,1,2025-05-28T12:32:09.424-0500,CUSTOM
94f7,3000,5,916.15,89,epc,1111111111111111111111fa,-41,64.22254180908203,1,2025-05-28T12:32:09.616-0500,CUSTOM
9496,3000,6,916.15,90,epc,98003480000000000076a282,-68,-100.7586898803711,1,2025-05-28T12:32:09.657-0500,CUSTOM
ebf0,3000,5,907.15,91,epc,e2801191a5030069bb92b1f1,-70,-59.72899627685547,1,2025-05-28T12:32:10.373-0500,CUSTOM
